citizenId,cluster
810359,4
811969,4
816592,4
816753,4
816799,4
816822,4
816914,4
820065,4
821261,4
821951,4
823607,4
831841,4
845710,4
849206,4
855048,3
857509,3
858107,3
859257,3
860453,3
867008,3
870481,3
871401,3
873839,4
873908,4
875311,3
875656,3
877956,3
878163,3
878301,4
878623,3
878692,3
878761,3
879796,3
880394,3
887892,4
889272,3
891227,3
891457,4
891940,3
892078,4
892515,3
892952,3
895321,3
897207,3
897575,3
897667,2
898196,2
899415,3
899783,2
900841,4
903141,3
905027,3
905073,3
905257,3
906430,3
906476,2
907005,2
908638,2
908661,3
909811,5
910754,3
912134,3
912157,3
912180,2
912318,2
914457,3
914480,2
914503,2
915193,4
915630,2
915699,4
915998,3
916274,4
917815,2
919632,3
920115,3
920575,3
920828,4
921863,3
921909,2
923956,3
924117,3
924416,2
925635,3
926808,3
926969,3
929867,3
934237,2
934605,2
934651,3
935640,2
936238,2
937710,4
938055,2
938906,4
939090,3
939136,3
939527,3
940930,3
941344,3
941988,3
942448,3
942632,2
942701,3
942770,4
943690,2
943966,2
945254,3
945277,3
945783,3
946588,3
946933,3
952614,3
953856,2
955098,5
955121,5
955236,2
955282,3
955397,4
955420,4
955857,2
957973,2
958341,3
958847,4
960434,3
960802,2
961285,4
961331,3
961676,2
963240,2
963401,4
963585,3
964298,2
964827,4
965126,2
965517,4
965632,3
965701,3
965931,4
965954,1
965977,3
966092,1
966230,3
966345,3
967932,3
968783,4
969197,3
969450,3
969680,3
970807,2
971520,3
972348,3
972739,2
972900,5
973130,2
973360,3
974464,3
974487,3
974694,3
975775,2
976856,2
977040,3
977592,2
977615,3
978144,3
978420,1
978558,2
978581,2
979984,2
980145,3
980260,3
980697,3
980743,3
980766,3
981801,4
982468,2
982583,3
983342,2
984216,4
984952,2
985941,3
986194,2
986539,2
986562,1
986953,1
987068,3
987160,2
987505,4
987689,3
987850,2
987919,4
989322,2
990863,1
991415,3
991461,3
991645,2
991875,3
992082,2
992105,2
992496,2
994520,3
995049,2
995647,2
995946,2
996130,4
996176,2
996636,2
997234,4
997280,3
997372,2
997464,3
997786,2
997809,2
998913,2
999212,2
999419,1
999442,2
999580,1
999925,3
1000109,2
1000132,2
1000224,2
1000385,3
1000454,2
1002202,1
1002892,3
1003582,2
1003812,2
1003858,1
1003973,2
1004502,2
1004663,1
1005583,3
1006112,2
1006503,2
1006710,2
1006733,2
1006825,2
1006917,3
1007055,2
1007101,2
1007124,2
1007147,1
1008343,1
1008458,2
1009355,2
1010022,1
1010045,3
1010114,5
1010390,2
1010827,2
1011011,3
1011103,2
1011149,3
1013564,3
1013794,2
1014990,2
1015496,3
1015680,1
1015703,1
1016554,2
1016899,2
1017083,2
1017290,1
1017359,2
1017566,3
1017842,3
1018325,2
1018348,2
1019084,5
1019337,2
1020073,2
1021085,3
1021131,2
1021913,3
1022166,2
1022212,5
1022235,2
1022580,2
1023224,2
1023707,2
1024351,2
1024512,2
1025202,1
1025294,2
1025432,2
1026490,2
1026559,2
1026605,1
1026743,2
1026881,2
1026996,3
1027433,1
1028928,2
1029204,2
1029227,2
1030308,3
1030354,2
1030423,1
1030561,1
1030883,2
1031044,2
1031504,3
1032240,3
1033206,2
1033367,2
1033735,3
1033781,2
1034195,2
1034333,1
1034356,2
1034885,3
1035138,3
1035322,2
1037208,2
1040014,2
1040313,2
1041210,2
1041394,3
1043694,3
1043947,2
1045350,2
1046707,2
1050157,4
1051353,2
1051376,1
1051422,1
1051445,2
1051468,1
1053768,2
1054044,2
1055815,1
1055838,1
1058092,2
1058943,1
1058989,1
1059702,2
1060461,2
1060553,2
1063497,2
1065406,2
1066533,1
1073939,2
1074123,2
1074514,1
1074629,2
1075342,2
1077918,1
1083484,2
1083599,2
1086888,1
1092017,2
1094064,1
1095398,2
1095421,2
1095467,1
1101010,1
1102643,2
1104736,2
1106921,2
1111981,1
1119847,2
1135441,2
1139190,2
1166629,1
1182085,1
1192205,1
